Year,playerId,season,Name,Team,position,Situation,GP,TOI,XGA,GA,UnblockedSA,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,Year,NameYear,Votes
2008,8470140,2008,Kari Lehtonen,ATL,G,other,46,5232,11.45,12,132,5.5,5,15.74,14,78.2,80,1.79,2,41.69,39,29.34,38,10.8,72,23,15,2.67,2.89,5.89,7,1,4,22,0,0,2008,Kari Lehtonen2008,0
2008,8470140,2008,Kari Lehtonen,ATL,G,all,46,157455,129.82,134,2573,92.29,93,306.98,338,1366.01,1498,36.75,28,762.51,623,576.22,745,125.46,1497,361,110,46.02,43.49,40.3,42,41,51,605,6,3,2008,Kari Lehtonen2008,0
2008,8470140,2008,Kari Lehtonen,ATL,G,5on5,46,116930,80.79,80,1848,62.18,70,232.18,253,984.31,1082,26.05,15,545.16,426,424.98,556,78.43,1107,253,54,35.26,29.92,15.61,26,34,20,434,6,3,2008,Kari Lehtonen2008,0
2008,8470140,2008,Kari Lehtonen,ATL,G,4on5,46,17502,31.77,36,506,22.15,17,52.45,61,254.4,276,1.26,0,160.45,145,85.81,107,30.54,265,69,35,6.22,8.57,16.99,7,3,26,137,0,0,2008,Kari Lehtonen2008,0
2008,8470140,2008,Kari Lehtonen,ATL,G,5on4,46,17791,4.94,6,74,2.29,0,6.2,7,46.78,51,7.59,11,14.27,9,35.02,41,4.86,44,14,6,1.33,1.78,1.82,2,3,1,10,0,0,2008,Kari Lehtonen2008,0
2008,8470147,2008,Curtis McElhinney,CGY,G,other,13,1143,1.14,3,15,0.75,2,1.8,0,8.86,10,0.31,0,5.45,2,3.56,6,1.01,9,3,1,0.35,0.39,0.4,1,1,1,2,0,0,2008,Curtis McElhinney2008,0
2008,8470147,2008,Curtis McElhinney,CGY,G,all,13,27256,22.22,27,389,15.63,20,51.15,52,227.88,241,8.27,10,129.78,99,94.83,118,21.27,240,61,22,7.22,7.77,7.23,7,1,10,66,0,0,2008,Curtis McElhinney2008,0
2008,8470147,2008,Curtis McElhinney,CGY,G,5on5,13,20172,12.85,15,261,9.48,12,35.09,32,151.65,160,6.24,8,85.88,70,65.9,82,12.48,166,38,12,4.56,4.65,3.63,4,6,5,45,0,0,2008,Curtis McElhinney2008,0
2008,8470147,2008,Curtis McElhinney,CGY,G,4on5,13,3265,6.92,8,100,4.95,5,13.13,19,58.63,62,0.3,0,36.13,26,19.85,24,6.5,60,17,6,2.18,2.18,2.56,2,3,3,17,0,0,2008,Curtis McElhinney2008,0
2008,8470147,2008,Curtis McElhinney,CGY,G,5on4,13,2676,1.31,1,13,0.45,1,1.13,1,8.73,9,1.41,2,2.32,1,5.53,6,1.28,5,3,3,0.12,0.55,0.64,0,0,1,2,0,0,2008,Curtis McElhinney2008,0
